Provinsi;IPM18;IPM19;IPM20;IPM21;IPM22;IKES18;IKES19;IKES20;IKES21;IKES22;IPEN18;IPEN19;IPEN20;IPEN21;IPEN22;IPEG18;IPEG19;IPEG20;IPEG21;IPEG22;PAD18;PAD19;PAD20;PAD21;PAD22;PD18;PD19;PD20;PD21;PD22;RD18;RD19;RD20;RD21;RD22;HPKD18;HPKD19;HPKD20;HPKD21;HPKD22;LPS2018;LPS2019;LPS2020;LPS2021;LPS2022;BD18;BD19;BD20;BD21;BD22;BP18;BP19;BP20;BP21;BP22;BBJ18;BBJ19;BBJ20;BBJ21;BBJ22;BM18;BM19;BM20;BM21;BM22;BL18;BL19;BL20;BL21;BL22;IPM;KES;PEN;PEG;PAD;PD;RD;HPKD;LPS;BD;BP;BBJ;BM;BL
DKI Jakarta;80,47;80,76;81,92;82,25;82,77;72,67;72,79;72,91;73,01;73,32;12,00;12,02;12,06;12,12;12,20;18128;18527;18227;18520;18927;43327,14;45707,40;37414,75;41606,31;45608,40;37538,91;40298,12;31895,26;34575,56;40275,15;578,56;587,38;496,33;383,86;376,98;592,96;619,46;672,49;398,79;402,42;4616,71;4202,44;4350,67;6248,09;4553,85;61410,12;64938,36;52088,13;61619,04;64865,12;21852,42;22016,85;16686,87;18816,24;17705,44;16919,78;20807,66;16775,62;21488,66;23613,05;14118,61;11551,93;3173,22;6865,83;8808,19;8519,32;10561,93;15452,42;14448,31;14738,44;81,63;72,94;12,08;18465,80;42732,80;36916,60;484,62;537,22;4794,35;60984,15;19415,56;19920,95;8903,56;12744,08
Jawa Barat;71,30;72,03;72,61;72,96;73,63;72,66;72,85;73,04;73,23;73,52;10,30;10,43;10,53;10,61;10,70;1079;11152;10845;10934;11277;19642,92;21244,27;18521,88;20333,68;23249,62;18153,62;19626,35;17035,96;18847,18;21542,60;49,18;56,22;40,22;43,26;44,84;348,54;386,44;401,70;414,78;468,99;1091,58;1175,25;1044,00;1028,45;1193,19;33333,82;35833,09;38127,53;37470,91;32644,21;5783,33;5888,75;6097,57;6179,74;6671,26;4300,58;4919,08;4796,37;6688,76;6885,79;3145,85;2530,35;1672,91;2045,43;2381,57;20104,07;22494,90;25560,68;22556,98;16705,59;72,51;73,06;10,51;9057,40;20598,47;19041,14;46,74;404,09;1106,49;35481,91;6124,13;5518,12;2355,22;21484,44
Jawa Tengah;71,12;71,73;71,88;72,17;72,80;74,18;74,23;74,37;74,47;74,57;9,99;10,11;10,20;10,26;10,37;10777;11102;10930;11;11377;13711,84;14437,91;13668,28;14695,47;16264,62;11507,12;11951,92;11139,17;11718,38;13484,85;104,87;114,86;93,28;91,63;115,16;459,63;512,70;530,09;508,26;546,72;1640,22;1858,43;1905,74;2377,20;2117,89;24478,63;26151,06;25651,74;25843,80;23950,24;6468,26;6591,90;6483,76;5685,93;5902,90;4042,71;4562,50;4104,64;5345,40;5377,37;1681,75;2099,72;996,99;1447,62;1713,64;12285,91;12896,94;14066,35;13364,86;10956,33;71,94;74,36;10,19;8839,40;14555,62;11960,29;103,96;511,48;1979,90;25215,09;6226,55;4686,52;1587,94;12714,08
DI Yogyakarta;79,53;79,99;79,95;80,22;80,65;74,82;74,92;74,99;75,04;75,08;12,44;12,48;12,57;12,64;12,70;13946;14394;14015;14111;14482;2040,72;2082,80;1876,71;1900,92;2263,43;1717,29;1773,94;1646,56;1688,44;1951,27;43,63;42,42;36,55;38,51;38,25;85,10;85,96;101,46;96,34;108,24;194,71;180,47;92,14;77,63;165,67;194,71;5544,65;5433,18;5530,17;5449,94;1512,79;1553,76;1562,24;1561,54;1604,66;1290,91;1219,15;782,82;1039,42;1265,18;1132,83;1035,20;940,63;654,84;704,88;1359,87;1736,53;2147,49;2274,38;1875,21;80,07;74,97;12,57;14189,60;2032,92;1755,50;39,87;95,42;142,12;4430,53;1559,00;1119,50;893,68;1878,70
Jawa Timur;70,77;71,50;73,04;73,48;74,05;70,97;71,18;71,30;71,38;71,74;10,25;10,38;10,49;10,62;10,70;1138;11739;11601;11707;11992;18531,06;19327,13;17951,00;18935,89;21256,65;15060,71;15522,20;14412,67;15400,86;17573,32;89,88;146,82;84,10;110,95;119,97;384,29;402,30;417,76;408,64;441,44;2996,18;3255,81;3036,46;3015,43;3121,91;30662,09;33967,11;32286,76;33852,94;31502,99;6649,69;7988,53;7605,95;6988,56;7374,40;5558,73;6459,62;5910,18;7300,02;7969,60;2840,55;2770,97;1904,56;1969,92;2505,99;15613,12;16747,98;16866,06;17594,43;13652,99;72,57;71,31;10,49;9635,40;19200,35;15593,95;110,34;410,89;3085,16;32454,38;7321,43;6639,63;2398,40;16094,92
Banten;71,95;72,44;74,41;74,68;75,25;69,64;69,84;69,96;70,02;70,39;10,74;10,81;10,89;10,98;11,09;11994;12267;11964;12033;12216;6329,14;7022,31;5906,54;7010,37;8203,14;6032,62;6720,75;5659,65;6670,93;7777,07;13,55;20,85;8,73;10,97;18,38;51,64;53,93;54,59;56,90;56,73;231,33;226,77;183,57;271,57;350,95;9992,82;11324,59;9879,31;11660,63;11278,68;1743,42;2161,10;1909,62;2046,65;2209,79;2136,81;2635,25;2177,28;2789,46;3601,30;1362,55;1379,32;994,26;1297,23;1660,22;4750,04;5148,92;4798,16;5527,29;3807,38;73,75;69,97;10,90;12094,80;6894,30;6572,20;14,50;54,76;252,84;10827,21;2014,12;2668,02;1338,72;4806,36
Bali;74,77;75,38;76,52;76,69;77,40;71,68;71,99;72,13;72,24;72,60;10,94;11,06;11,14;11,23;11,44;13886;14146;13929;1382;13942;3718,50;4023,16;3069,47;3117,07;3863,19;3230,73;3464,00;2607,99;2458,53;3230,84;40,24;33,84;18,97;14,30;14,35;170,22;171,08;177,40;160,71;220,32;277,31;354,24;265,12;483,53;397,68;5998,55;6518,31;6358,12;6270,67;6749,44;1590,44;1590,61;1597,69;1653,00;1740,90;999,37;1195,89;1553,63;1580,08;1690,05;440,71;556,75;458,45;839,01;1452,06;2968,03;3175,05;2748,36;2198,58;1866,43;76,15;72,13;11,16;11457,00;3558,28;2998,42;24,34;179,95;355,58;6379,02;1634,53;1403,80;749,40;2591,29
Nusa Tenggara Barat;67,30;68,14;70,46;70,86;71,65;65,87;66,28;66,51;66,69;67,07;10,25;10,38;10,51;10,64;10,79;10284;10640;10351;10377;10681;1660,42;1807,48;1815,69;1888,46;2292,07;1269,69;1404,96;1328,31;1418,22;1706,13;21,27;21,48;16,47;10,45;14,46;60,08;54,17;61,12;46,26;50,62;309,38;326,86;409,79;413,52;520,86;5239,53;5148,16;5199,50;5545,14;5873,55;1340,75;1388,74;1394,58;1507,54;1644,61;968,95;1018,30;1080,98;1388,50;1749,45;891,89;669,71;608,30;771,28;1313,67;2037,95;2071,41;2115,65;1877,82;1165,82;69,68;66,48;10,51;10466,60;1892,82;1425,46;16,83;54,45;396,08;5401,18;1455,24;1241,24;850,97;1853,73
Nusa Tenggara Timur;64,39;65,23;66,93;67,02;67,63;66,38;66,85;67,01;67,15;67,47;10,20;10,35;10,41;10,45;10,46;7566;7769;7598;7554;7877;1095,27;1258,96;1166,57;1238,03;1363,74;866,16;908,21;924,19;925,86;1095,50;27,57;60,83;34,96;69,89;61,61;72,42;70,66;65,14;64,98;37,18;129,13;219,26;142,29;177,30;169,45;4846,84;5277,06;5755,26;5508,77;4816,65;1299,77;1442,97;1444,65;1608,46;1421,87;1084,64;1194,83;1221,57;1078,29;1208,11;529,76;798,22;1026,79;903,26;1216,80;1932,66;1841,04;2062,25;1918,76;969,87;66,24;66,97;10,37;7672,80;1224,51;943,98;50,97;62,08;167,49;5240,92;1443,54;1157,49;894,97;1744,92
Kalimantan Barat;66,98;67,65;68,76;68,99;69,71;70,18;70,56;70,69;70,76;71,02;9,84;9,95;9,99;10,05;10,13;8860;9055;8930;8974;9355;2194,87;2301,31;2154,15;2507,32;3217,81;1919,26;1959,34;1808,97;2121,97;2671,66;40,48;45,88;37,14;32,04;14,33;79,73;92,44;92,25;95,73;101,12;155,40;203,64;215,79;257,58;430,70;5341,40;5677,40;5879,36;6303,15;5726,86;1303,88;1368,12;1400,41;1414,46;1510,99;881,21;941,37;1440,99;1608,23;1785,37;676,49;871,61;759,26;927,11;1003,97;2479,84;2496,30;2278,70;2353,35;1426,54;68,42;70,64;9,99;9034,80;2475,09;2096,24;33,97;92,25;252,62;5785,63;1399,57;1331,43;847,69;2206,95
Kalimantan Tengah;70,42;70,91;72,62;72,81;73,17;69,64;69,69;69,74;69,79;70,04;10,46;10,54;10,63;10,69;10,70;10931;11236;11154;11182;11458;1616,52;1776,23;1570,14;1851,58;2523,60;1354,70;1438,98;1243,22;1415,41;2095,65;12,55;41,57;14,37;24,01;23,72;64,10;78,92;79,37;95,73;90,41;185,18;216,76;233,17;316,43;313,82;4547,70;5064,14;5031,02;4584,75;5147,57;1360,67;1441,01;1519,64;1191,99;1168,90;686,53;808,07;604,28;1009,51;1226,33;1060,39;1293,57;1108,30;872,47;1091,79;1440,11;1521,49;1798,80;1510,79;1660,55;71,99;69,78;10,60;11192,20;1867,61;1509,59;23,24;81,71;253,07;4875,04;1336,44;866,94;1085,30;1586,35
Kalimantan Selatan;70,17;70,72;73,09;73,45;74,00;68,23;68,49;68,66;68,83;69,13;10,25;10,36;10,49;10,58;10,64;12062;12253;12032;12143;12469;3557,32;3498,84;2940,40;3564,91;4558,04;2816,26;2765,97;2214,72;2631,76;3821,21;27,82;39,97;22,08;38,36;25,49;52,25;23,82;34,86;42,46;44,07;660,98;669,08;668,74;852,33;667,28;6082,59;7005,77;6630,73;6434,68;7341,78;1700,90;1763,28;1934,78;1657,81;1796,60;1377,27;1595,11;1421,08;1821,80;2029,12;1117,20;1495,68;778,10;956,16;1070,31;1887,22;2151,70;2496,76;1998,91;2445,75;72,29;68,67;10,46;12191,80;3623,90;2849,98;30,74;39,49;703,68;6699,11;1770,67;1648,88;1083,49;2196,07
Kalimantan Timur;75,83;76,61;75,94;76,60;77,36;73,96;74,22;74,33;74,61;74,62;11,58;11,70;11,75;11,83;11,88;11917;12359;11728;12116;12641;5800,27;6555,85;5289,23;6111,92;8997,26;4716,69;4984,52;3900,43;4774,89;7623,60;18,96;26,49;9,75;13,59;19,98;199,30;392,38;110,99;214,60;310,26;865,32;1152,46;1268,06;1108,84;1043,42;9345,06;11387,62;9328,50;10723,53;12393,75;1509,10;1697,11;1668,09;2105,59;2334,59;1874,30;2767,69;2779,85;2634,94;3230,89;1829,26;1207,82;1066,61;1514,47;1980,01;4132,40;5715,00;3813,96;4468,53;4848,26;76,47;74,35;11,75;12152,20;6550,91;5200,03;17,75;245,51;1087,62;10635,69;1862,90;2657,53;1519,63;4595,63
